City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
67,Laguna,38.421,-121.4238,53.01,71,90,3.44,US,2021-01-29 22:32:34
68,Itoman,26.1247,127.6694,55.4,58,40,9.22,JP,2021-01-29 22:36:57
69,Coari,-4.085,-63.1414,76.42,93,99,2.13,BR,2021-01-29 22:36:58
70,Ribeira Grande,38.5167,-28.7,60.8,77,20,10.36,PT,2021-01-29 22:36:58
71,Kez,57.8979,53.7152,22.87,98,100,8.21,RU,2021-01-29 22:36:58
72,Maraa,-1.8333,-65.3667,80.04,73,35,2.42,BR,2021-01-29 22:36:58
73,Tuktoyaktuk,69.4541,-133.0374,-34.6,67,20,3.44,CA,2021-01-29 22:36:58
74,Seoul,37.5683,126.9778,24.8,54,90,8.05,KR,2021-01-29 22:32:37
75,Bage,-31.3314,-54.1069,80.6,74,0,3.44,BR,2021-01-29 22:36:58
76,Sakakah,29.9697,40.2064,48.2,53,0,14.97,SA,2021-01-29 22:36:58
77,Arraial Do Cabo,-22.9661,-42.0278,82.4,73,0,17.27,BR,2021-01-29 22:34:49
78,Souillac,-20.5167,57.5167,80.6,83,40,8.05,MU,2021-01-29 22:36:59
79,Yulara,-25.2406,130.9889,80.6,50,100,16.11,AU,2021-01-29 22:36:59
80,Aden,12.7794,45.0367,73.72,77,0,11.45,YE,2021-01-29 22:34:06
81,Padang,-0.9492,100.3543,73.4,100,75,2.3,ID,2021-01-29 22:36:59
82,Chiungutwa,-10.8833,38.9833,71.55,94,46,2.26,TZ,2021-01-29 22:36:59
83,Coxim,-18.5067,-54.76,76.41,77,99,4.29,BR,2021-01-29 22:36:59
84,Santa Rosa,14.3122,121.1114,75.2,73,20,3.44,PH,2021-01-29 22:36:59
85,Presidencia Roque Saenz Pena,-26.7852,-60.4388,87.01,63,65,3.0,AR,2021-01-29 22:36:59
86,Kloulklubed,7.0419,134.2556,80.6,69,75,10.36,PW,2021-01-29 22:33:52
87,Omis,43.4447,16.6886,46.4,93,0,5.75,HR,2021-01-29 22:37:00
88,Bubaque,11.2833,-15.8333,78.57,73,0,12.68,GW,2021-01-29 22:37:00
89,Avarua,-21.2078,-159.775,82.4,78,40,2.3,CK,2021-01-29 22:37:00
90,Saint-Philippe,-21.3585,55.7679,78.8,65,0,5.75,RE,2021-01-29 22:37:00
91,Mount Isa,-20.7333,139.5,87.8,51,72,5.75,AU,2021-01-29 22:37:00
92,Kodiak,57.79,-152.4072,35.6,64,75,17.27,US,2021-01-29 22:35:00
93,Praia,14.9215,-23.5087,73.4,56,75,19.57,CV,2021-01-29 22:33:46
94,Saskylakh,71.9167,114.0833,-38.52,78,35,0.27,RU,2021-01-29 22:37:01
95,Provideniya,64.3833,-173.3,-6.38,81,87,7.07,RU,2021-01-29 22:37:01
96,Jamestown,42.097,-79.2353,21.0,73,90,16.11,US,2021-01-29 22:36:53
97,Yellowknife,62.456,-114.3525,-14.01,76,20,5.75,CA,2021-01-29 22:37:01
98,Roald,62.5833,6.1333,33.8,93,75,12.66,NO,2021-01-29 22:37:02
99,Hobart,-42.8794,147.3294,69.01,77,20,5.75,AU,2021-01-29 22:36:14
100,Vardo,70.3705,31.1107,21.2,86,75,16.11,NO,2021-01-29 22:37:03
101,Angoram,-4.0625,144.0661,77.2,93,100,4.16,PG,2021-01-29 22:37:03
102,Jiayuguan,39.8167,98.3,17.15,69,0,1.66,CN,2021-01-29 22:37:03
103,Lehututu,-23.9667,21.8667,72.45,69,100,5.19,BW,2021-01-29 22:37:03
104,Koslan,63.4564,48.8989,21.78,97,100,9.93,RU,2021-01-29 22:37:03
105,Puerto Madryn,-42.7692,-65.0385,60.39,52,4,18.05,AR,2021-01-29 22:34:14
106,Kudahuvadhoo,2.6708,72.8944,80.85,79,62,15.93,MV,2021-01-29 22:37:04
107,Edson,53.5835,-116.4356,19.4,73,1,1.86,CA,2021-01-29 22:37:04
108,Santa Cruz,-17.8,-63.1667,77.0,83,75,26.46,BO,2021-01-29 22:32:48
109,Vernon,50.2581,-119.2691,36.0,86,89,0.94,CA,2021-01-29 22:37:04
110,Chuy,-33.6971,-53.4616,70.95,86,1,5.39,UY,2021-01-29 22:37:04
111,Tarquinia,42.2482,11.7553,55.4,67,0,8.05,IT,2021-01-29 22:37:04
112,Road Town,18.4167,-64.6167,77.0,73,20,3.44,VG,2021-01-29 22:34:07
113,Puerto Ayora,-0.7393,-90.3518,84.2,70,40,12.66,EC,2021-01-29 22:37:04
114,East London,-33.0153,27.9116,71.02,67,18,2.21,ZA,2021-01-29 22:37:05
115,Redlands,34.0556,-117.1825,50.0,81,90,2.66,US,2021-01-29 22:37:05
116,Merritt Island,28.5392,-80.672,61.0,51,1,8.05,US,2021-01-29 22:37:05
117,Sokoto,13.0609,5.239,71.11,22,0,11.52,NG,2021-01-29 22:37:05
118,Ladario,-19.0047,-57.6017,89.6,74,40,6.91,BR,2021-01-29 22:37:05
119,Esperance,-33.8667,121.9,57.2,88,0,8.05,AU,2021-01-29 22:32:07
120,Presidente Olegario,-18.4178,-46.4181,73.99,64,100,1.77,BR,2021-01-29 22:37:05
121,Salvador,13.8333,-88.9167,93.2,43,0,4.61,SV,2021-01-29 22:37:06
122,Lincoln,40.8,-96.667,37.4,70,1,10.36,US,2021-01-29 22:37:06
123,Unity,52.4501,-109.1682,4.06,94,99,4.52,CA,2021-01-29 22:36:36
124,Minab,27.1467,57.0801,59.0,88,13,9.22,IR,2021-01-29 22:37:06
125,Ancud,-41.8697,-73.8203,64.99,51,0,10.36,CL,2021-01-29 22:37:06
126,Nantucket,41.2835,-70.0995,17.6,67,90,27.63,US,2021-01-29 22:36:48
127,Portland,45.5234,-122.6762,46.99,71,75,5.75,US,2021-01-29 22:37:06
128,Khatanga,71.9667,102.5,-43.29,74,0,3.53,RU,2021-01-29 22:37:07
129,College,64.8569,-147.8028,5.0,71,75,3.44,US,2021-01-29 22:37:07
